Label,Text
aggressive,"গূদের পুজো করিস কেনো এটা কি ধরম , যত সব ভণ্ডামি"
aggressive,"বালের শান্তির ধর্ম, যে ধর্মে নিজের মেয়ে কেও ছাড়েনা4"
aggressive,"যতদোশ খুন খারাবি,দাঙ্গা সব কিছু হিন্দুরা করছে!!"
aggressive,"ঐসব কথা বোঝার ক্ষমতা তোর মত মুর্খের নয়। আমি জানি তুই মুর্খ হয়েই থাকতে চাস, আর তোর মত গান্ডুর সাথে কোরান নিয়ে আলোচিনা করতে চাইনা। এবার চটপট রেফারেন্স দে, আপাতত পুরান থেকে দিলেই হবে। তারপর বেদ থেকে দিবি না হয়।"
aggressive,ঠাকুরদা উপরে বসে আছে মুসলিমদের দরদ কি করে বুঝবে মালাউন 
aggressive,"হিন্দু বোদ্ধ ধর্ম এদের মনগড়া ধর্ম, মরলে চিরস্থায়ী জাহান্নাম।"
aggressive,"ইতিহাস বিকৃতি বিএনপি করেনি বরং, সত্যকে বাদ দিয়ে দলের ইতিহাস চাপিয়ে দিচ্ছে আওয়ামী লীগ।"
aggressive,এমোন কুদরুত জদি আল্লাহ দেখাতো গুম থেকে জেগে জদি সুনতাম হাসিনা করুনায় আক্রান্ত হয়ে মারাগেছে এই দুরবোগএরসমায় বাংলা জাতি ইদএরচেও বেসি খুসি হোত বোলতো লোকে একটা পিসাষনি মারা গেছে
aggressive,হা হা হা। শেখ হাসিনা নিজামীরে ভালোই ইউজ করছে সেই সময়। খালেদা রে শান্তিতে ঘুমাতে দেই নাই।
aggressive,ভারতের আগ্রাসন থেকে বেরিয়েআসা অতি জরুরী ।বর্তমান মন্ত্রী সব মাথা মোটা । এরা অপকর্ম করে করে সততা কি তা ভুলেই গেছে । কে- কি বলছে তারা নিজেরাই জানেনা
aggressive,আওয়ামী সরকারের পতন চাই কিভাবে কি করতে হবে এটাই সাজেশন দেন প্লীজজজ
aggressive,বেশ্যারপোলা নাপাক জাত ডান্ডি
aggressive,এই সরকার দিল্লির প্রডাক্ট এইজন্য দেশের মানুষ কে হত্যা কান্ড ঘটিয়ে চলছে না হয় একটা প্রদীপ কি ভাবে 200 মানুষ কে করছ ফায়ার দেয় আর সরকারে ওই করচ ফায়ারের বৈধতা কি করে দেয় এতো গুলি হত্যা একটা ও কি তদন্ত করা উচিত ছিল না সে কি আইনের উদ্ধে
aggressive,হাসিনা আবালের মত কথা বলতেছে
aggressive,"রানু  মন্ডল  রান্ডি  শালী খালি ওকে নিয়ে খবর 	"
aggressive,বাপ-বেটা নিজেদের বাদ দেয়াকে রাষ্ট্রবিরোধী ষড়যন্ত্র বলছে । নিজেদেরই রাষ্ট্র মনে করে নাকি? 
aggressive,করোনার ভায়ে আন্যায়কারী শেখ হাছিনা তাকে মুক্তিদিয়েছে।
aggressive,দেখছি কি আছে ওইখানে।উগ্রবাদী হিন্দু কিছু থাকতে পারে।কিন্তু ইস্কন উগ্রবাদ সমর্থন করে না।তোরা মুসলিম করিস
aggressive,"যখন কোন স্ত্রী সন্তান উতপাদন করতে সমর্থ থাকে এবং বিধবা হয়, তখন সে নিয়ােগ দ্বারা আবদ্ধ স্বামী হতে সন্তান উতপাদন করতে পারবে। এ দ্বারা বােঝা যায় বৈদিক ধর্মে নারী সন্তান উতপাদনের মেশিন ছাড়া আর কিছুই নয়।।"
aggressive,কিরে গরুর মুত খাইতাছস না????তোগো হিন্দুগো মুসলমানরা একটা টুকা দিব তুই জাহান্নামে যাবি
aggressive,ছাত্রলীগ নাম পরিবর্তন করে ধর্ষণলীগ দেওয়া হউক
aggressive,তোর বাপতো বিনা ভোটে নির্বাচিত জারজ এমপি বেস্যা মাগির পুত। আগে বল তোর হারামখোর বাপ মা এত টাকা কোথাক পাইসে নটি মাগির পু।
aggressive,এগুলো সব মাফিয়া দের মাতা রানী হাছিনার কাজ
aggressive,"এখন সেফুদার হাসু আপা ভোট চুরিতে , স্বৈরাচারীতে , দুর্নীতিতে, গুম খুন হত্যায় চ্যাম্পিয়ন। মানুষের বাক স্বাধীনতা কেড়ে নিয়েছে। ঢাকাকে বানিয়েছে পৃথিবীর সবচেয়ে নোংরা, দূষিত, বসবাসের অযোগ্য নগরীর তালিকায় চ্যাম্পিয়ন"
aggressive,১৯৭১ সালে নাকি রাজাকারেরা ধরষন করেছে আনেক মা বোন দের এখন আওয়ামিলীগের লোক যেভাবে ধরষন করছে বাংলাদেশেের মা বোন দের শেখ হাসিনা তোমার মেয়েকে যদি এভাবে ধরষন করতো তোমার সোনার ছেলেরা তখন তুমি কি করতে ওরা তো তোমাকাও ধরষন করতে পারে
